Produkt Name #1;Produkt Name #2;Produkt Name #3;Produkt Name #4;Produkt Name #5;Produkt Name #6;Produkt Name #7;Produkt Name #8;Bestell ID;Shipping Postcode;Shipping City;Customer ID
Bio Gemüsekiste(ca. 5Kg);;;;;;;;42533;50935;Köln;1
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;41483;50935;Köln;1
"Bauerntüte ""klassik""";;;;;;;;41591;51103;Köln;2
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;40070;50677;Köln;3
"Bauerntüte ""klassik""";Mexiko Kaffee, gemahlen (250g);;;;;;;35409;50933;Köln;3
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;37850;50858;Köln;3
Bio Gemüsekiste(ca. 5Kg);;;;;;;;40987;50737;Köln;4
Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;;38917;50858;Köln;5
Bio Gemüsekiste(ca. 5Kg);;;;;;;;37898;50674;Köln;6
"Bauerntüte ""klassik""";;;;;;;;41159;50733;Köln;7
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;40353;50679;Köln;8
Bio Obst &  Gemüse (ca. 5 kg);;;;;;;;39554;40629;DUESSELDORF;9
"Abo Bauerntüte ""klassik""<br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 4x im Monat (wöchentlich)";Abo Gemüsekiste Bio (ca.5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich);;;;;;;42474;50931;Köln;10
Abo Gemüsekiste Bio (ca.5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich);"Abo Bauerntüte ""klassik""<br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 4x im Monat (wöchentlich)";;;;;;;43109;50931;Köln;10
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;41074;50931;Köln;10
